com,Part_grave,age_moyen,Part_homme,mod_mois,mod_jour,Part_surf_degradee,Part_lum_degradee,Part_atm_degradee,Part_agglo,Part_secu,mod_int,mod_int,mod_col,mod_catr,circ,mod_plan,mod_situ,mod_trajet,mod_choc
56062,100.0,92.0,100.0,septembre,lundi,0.0,0.0,0.0,100.0,100.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Voie communale,null,Partie rectiligne,Autre,Promenade - loisirs,Avant
56076,100.0,9.0,100.0,aout,lundi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
56078,87.5,53.375,87.5,janvier,jeudi,12.5,6.25,25.0,18.75,75.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
56081,100.0,27.75,100.0,avril,mercredi,0.0,0.0,0.0,0.0,100.0,Giratoire,Giratoire,Trois véhicules et plus - en chaîne,Voie communale,Bidirectionnelle,Non renseigné,Sur chaussée,Promenade - loisirs,Avant
56089,100.0,44.666666666666664,66.66666666666666,mars,lundi,33.33333333333333,0.0,33.33333333333333,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
56091,100.0,75.0,100.0,septembre,jeudi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
56098,8.333333333333332,34.104166666666664,80.20833333333334,mai,mardi,6.25,17.708333333333336,9.375,97.91666666666666,97.91666666666666,Hors intersection,Hors intersection,Deux véhicules - par le côté,Autre,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Aucun
56107,5.555555555555555,38.97222222222222,75.0,aout,vendredi,5.555555555555555,13.88888888888889,5.555555555555555,77.77777777777779,97.22222222222221,Hors intersection,Hors intersection,Deux véhicules - par le côté,Autre,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Aucun
56114,100.0,76.5,50.0,aout,vendredi,0.0,50.0,0.0,0.0,50.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Courses - achats,Aucun
56116,100.0,63.0,100.0,juillet,mercredi,0.0,0.0,0.0,100.0,100.0,Intersection en Y,Intersection en Y,Deux véhicules - par le côté,Voie communale,A sens unique,Partie rectiligne,Autre,Promenade - loisirs,Côté gauche
56118,60.0,33.6,100.0,mai,lundi,0.0,40.0,20.0,60.0,60.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
56121,6.730769230769231,36.40836012861736,70.1923076923077,juin,vendredi,13.141025641025642,16.98717948717949,14.102564102564102,98.3974358974359,95.51282051282051,Hors intersection,Hors intersection,Deux véhicules - par le côté,Autre,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Aucun
56151,100.0,33.0,100.0,juin,vendredi,0.0,0.0,0.0,0.0,100.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Côté gauche
56157,100.0,68.0,100.0,aout,samedi,0.0,0.0,0.0,0.0,50.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
56162,8.108108108108109,40.972972972972975,66.21621621621621,juillet,lundi,12.162162162162163,9.45945945945946,12.162162162162163,64.86486486486487,95.94594594594594,Hors intersection,Hors intersection,Deux véhicules - par le côté,Autre,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Aucun
56166,100.0,18.666666666666668,100.0,juin,mercredi,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
56186,56.25,58.75,43.75,juillet,vendredi,6.25,0.0,6.25,81.25,68.75,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
56224,100.0,75.0,100.0,fevrier,vendredi,0.0,0.0,0.0,0.0,0.0,Hors intersection,Hors intersection,Sans collision,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
56228,100.0,36.0,100.0,octobre,jeudi,0.0,0.0,0.0,100.0,100.0,Giratoire,Giratoire,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - travail,Côté droit
56243,71.42857142857143,48.42857142857143,71.42857142857143,octobre,samedi,14.285714285714285,14.285714285714285,14.285714285714285,85.71428571428571,71.42857142857143,Giratoire,Giratoire,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
56244,100.0,15.0,100.0,mars,mercredi,0.0,100.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Sans collision,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
56251,33.33333333333333,43.666666666666664,66.66666666666666,octobre,lundi,0.0,0.0,0.0,33.33333333333333,66.66666666666666,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant gauche
56263,100.0,65.0,100.0,juin,mardi,0.0,0.0,33.33333333333333,66.66666666666666,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Non renseigné,Autre,Promenade - loisirs,Avant
57012,0.0,13.0,50.0,juillet,mercredi,0.0,0.0,0.0,100.0,100.0,Intersection en X,Intersection en X,Autre collision,Voie communale,A sens unique,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
57018,100.0,62.0,100.0,aout,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Arrière
57040,100.0,4.0,100.0,septembre,lundi,0.0,0.0,0.0,100.0,0.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Promenade - loisirs,Côté gauche
57085,100.0,13.0,0.0,mai,mercredi,0.0,0.0,0.0,100.0,100.0,Intersection en T,Intersection en T,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
57102,66.66666666666666,45.666666666666664,66.66666666666666,octobre,jeudi,33.33333333333333,66.66666666666666,33.33333333333333,33.33333333333333,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Côté gauche
57137,100.0,35.0,100.0,juin,mardi,0.0,50.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
57151,100.0,36.0,100.0,juillet,samedi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
57180,100.0,41.0,100.0,aout,mercredi,0.0,0.0,0.0,100.0,100.0,Intersection en T,Intersection en T,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
57183,100.0,10.0,0.0,juillet,mardi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
57184,100.0,35.0,100.0,octobre,mardi,0.0,100.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - travail,Avant
57204,50.0,13.5,100.0,octobre,dimanche,0.0,0.0,0.0,0.0,0.0,Hors intersection,Hors intersection,Trois véhicules et plus - collisions multiples,Route départementale,Bidirectionnelle,En courbe à droite,Sur chaussée,Promenade - loisirs,Aucun
57211,100.0,57.0,100.0,juin,dimanche,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
57226,50.0,45.5,50.0,septembre,vendredi,0.0,0.0,0.0,50.0,50.0,Giratoire,Giratoire,Deux véhicules - frontale,Route départementale,A sens unique,En courbe à gauche,Sur chaussée,Non renseigné,Avant
57331,100.0,50.0,100.0,octobre,dimanche,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,A chaussée séparées,Partie rectiligne,Sur chaussée,Non renseigné,Arrière
57371,100.0,43.5,100.0,mai,lundi,0.0,0.0,0.0,0.0,100.0,Autre intersection,Autre intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
57483,40.0,16.4,100.0,juin,mercredi,0.0,0.0,20.0,80.0,80.0,Hors intersection,Hors intersection,Autre collision,Route départementale,A sens unique,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
57529,100.0,30.0,100.0,fevrier,samedi,0.0,0.0,100.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
57535,100.0,47.0,100.0,septembre,dimanche,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Sans collision,Route départementale,A chaussée séparées,En courbe à gauche,Sur chaussée,Promenade - loisirs,Chocs multiples (tonneaux)
57543,0.0,39.0,100.0,juillet,dimanche,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route nationale,Bidirectionnelle,Non renseigné,Sur chaussée,Promenade - loisirs,Côté gauche
57552,100.0,13.5,50.0,mai,lundi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Autre,Domicile - école,Côté gauche
57556,100.0,30.0,100.0,avril,dimanche,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,En courbe à droite,Sur chaussée,Promenade - loisirs,Arrière
57610,100.0,51.0,100.0,juillet,mardi,0.0,0.0,100.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
57620,66.66666666666666,52.333333333333336,100.0,mars,samedi,0.0,0.0,0.0,66.66666666666666,66.66666666666666,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
57628,100.0,33.666666666666664,66.66666666666666,novembre,vendredi,33.33333333333333,33.33333333333333,66.66666666666666,66.66666666666666,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
57629,100.0,53.0,0.0,juillet,samedi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Sans collision,Voie communale,Bidirectionnelle,Non renseigné,Autre,Promenade - loisirs,Aucun
57631,25.0,34.0,100.0,juin,mercredi,25.0,25.0,0.0,75.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
57663,100.0,57.333333333333336,100.0,septembre,mardi,0.0,0.0,33.33333333333333,100.0,66.66666666666666,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté droit
57689,0.0,7.0,100.0,septembre,samedi,0.0,0.0,0.0,100.0,100.0,Intersection en T,Intersection en T,Deux véhicules - par le côté,Hors réseau public,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
57706,100.0,56.0,100.0,avril,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant gauche
57708,0.0,25.666666666666668,100.0,avril,lundi,0.0,0.0,33.33333333333333,66.66666666666666,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
58016,100.0,78.0,100.0,mai,mercredi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
58046,100.0,14.0,0.0,septembre,vendredi,0.0,0.0,100.0,100.0,100.0,Autre intersection,Autre intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Courses - achats,Arrière droit
58053,100.0,47.0,100.0,aout,vendredi,0.0,0.0,0.0,0.0,0.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
58057,100.0,61.0,100.0,mars,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Sans collision,Voie communale,Bidirectionnelle,Partie rectiligne,Sur accotement,Promenade - loisirs,Aucun
58079,66.66666666666666,57.333333333333336,33.33333333333333,septembre,vendredi,33.33333333333333,0.0,0.0,66.66666666666666,0.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Autre,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
58086,77.77777777777779,45.22222222222222,88.88888888888889,juillet,mercredi,0.0,11.11111111111111,22.22222222222222,77.77777777777779,33.33333333333333,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
58095,90.0,61.6,50.0,octobre,vendredi,0.0,20.0,0.0,60.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté droit
58108,100.0,14.0,100.0,septembre,mercredi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Promenade - loisirs,Avant
58134,100.0,14.0,100.0,aout,vendredi,0.0,50.0,0.0,100.0,50.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
58144,50.0,74.5,100.0,juillet,mercredi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Autre collision,Route départementale,Bidirectionnelle,Partie rectiligne,Sur piste cyclable,Promenade - loisirs,Avant
58193,100.0,59.5,50.0,octobre,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Autre collision,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
58262,100.0,28.0,100.0,juillet,jeudi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Voie communale,Bidirectionnelle,En courbe à droite,Sur chaussée,Promenade - loisirs,Avant
59003,100.0,13.0,100.0,aout,jeudi,0.0,100.0,0.0,100.0,100.0,Intersection en Y,Intersection en Y,Deux véhicules - par le côté,Voie communale,null,null,null,Promenade - loisirs,Avant
59017,32.35294117647059,34.11764705882353,67.64705882352942,mai,mardi,20.588235294117645,23.52941176470588,23.52941176470588,91.17647058823529,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59032,50.0,23.0,75.0,juin,lundi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Côté droit
59034,100.0,33.0,100.0,aout,mercredi,0.0,0.0,0.0,0.0,100.0,Giratoire,Giratoire,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Non renseigné,null,Domicile - travail,Avant droit
59051,75.0,44.75,50.0,octobre,samedi,25.0,50.0,25.0,75.0,50.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59054,100.0,20.0,100.0,aout,vendredi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
59093,100.0,49.0,100.0,juin,vendredi,0.0,100.0,100.0,100.0,100.0,Hors intersection,Hors intersection,Autre collision,Voie communale,Bidirectionnelle,Non renseigné,null,Promenade - loisirs,Côté droit
59105,50.0,38.0,100.0,mars,lundi,50.0,50.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Voie communale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Domicile - travail,Avant
59122,70.0,34.2,80.0,octobre,mercredi,40.0,30.0,40.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
59131,100.0,52.25,75.0,octobre,mercredi,0.0,25.0,25.0,75.0,100.0,Giratoire,Giratoire,Autre collision,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Aucun
59133,0.0,43.0,100.0,octobre,jeudi,0.0,0.0,0.0,100.0,100.0,Giratoire,Giratoire,Deux véhicules - par le côté,Route de métropole urbaine,Bidirectionnelle,En courbe à gauche,Sur chaussée,Promenade - loisirs,Avant
59153,72.72727272727273,34.45454545454545,81.81818181818183,octobre,vendredi,18.181818181818183,18.181818181818183,18.181818181818183,72.72727272727273,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59160,66.66666666666666,48.333333333333336,33.33333333333333,juin,lundi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Utilisation professionnelle,Côté gauche
59183,47.05882352941176,31.485294117647058,61.76470588235294,juillet,lundi,8.823529411764707,22.058823529411764,10.294117647058822,97.05882352941177,98.52941176470588,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59207,0.0,13.0,0.0,janvier,vendredi,100.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Non renseigné,Avant
59211,0.0,56.0,100.0,mars,samedi,0.0,100.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
59225,50.0,48.5,100.0,mars,dimanche,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,"""En """"S""""""",Sur chaussée,Promenade - loisirs,Aucun
59263,0.0,30.0,100.0,aout,mercredi,0.0,100.0,100.0,0.0,100.0,Giratoire,Giratoire,Deux véhicules - par le côté,Route départementale,A sens unique,En courbe à droite,Sur chaussée,Domicile - travail,Arrière droit
59268,100.0,44.5,75.0,juin,mardi,25.0,0.0,50.0,100.0,75.0,Hors intersection,Hors intersection,Autre collision,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
59272,66.66666666666666,15.666666666666666,66.66666666666666,juin,mercredi,0.0,0.0,0.0,100.0,100.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
59273,28.57142857142857,17.428571428571427,85.71428571428571,octobre,vendredi,0.0,42.857142857142854,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
59303,100.0,77.0,100.0,janvier,mardi,100.0,0.0,100.0,0.0,0.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Promenade - loisirs,Côté gauche
59305,50.0,52.0,50.0,aout,samedi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59310,100.0,75.0,100.0,janvier,jeudi,0.0,0.0,0.0,100.0,100.0,Intersection en T,Intersection en T,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
59326,50.0,23.0,100.0,juin,jeudi,0.0,50.0,0.0,50.0,100.0,Hors intersection,Hors intersection,Autre collision,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59330,100.0,57.0,0.0,novembre,vendredi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
59350,18.27956989247312,30.11590296495957,70.43010752688173,octobre,vendredi,11.021505376344086,21.50537634408602,13.172043010752688,97.58064516129032,96.50537634408603,Hors intersection,Hors intersection,Autre collision,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59369,75.0,45.75,50.0,aout,lundi,0.0,0.0,0.0,25.0,100.0,Hors intersection,Hors intersection,Autre collision,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
59378,26.666666666666668,31.033333333333335,63.33333333333333,octobre,vendredi,8.333333333333332,18.333333333333332,8.333333333333332,98.33333333333333,96.66666666666667,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59385,100.0,10.0,100.0,aout,mercredi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Autre collision,Route départementale,Bidirectionnelle,En courbe à gauche,Sur trottoir,Promenade - loisirs,Avant
59410,11.76470588235294,30.294117647058822,70.58823529411765,mai,jeudi,17.647058823529413,29.411764705882355,29.411764705882355,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Avant
59431,83.33333333333334,36.166666666666664,83.33333333333334,octobre,vendredi,33.33333333333333,0.0,33.33333333333333,66.66666666666666,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
59437,0.0,45.0,100.0,juin,lundi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Autre collision,Route départementale,Bidirectionnelle,Partie rectiligne,Sur piste cyclable,Domicile - travail,Arrière
59440,0.0,71.0,0.0,octobre,vendredi,0.0,0.0,0.0,100.0,0.0,Intersection en T,Intersection en T,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
59464,100.0,28.0,100.0,septembre,mardi,0.0,100.0,100.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
59482,100.0,52.0,100.0,mars,samedi,0.0,0.0,0.0,66.66666666666666,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur piste cyclable,Promenade - loisirs,Aucun
59484,54.54545454545454,31.0,72.72727272727273,octobre,jeudi,18.181818181818183,18.181818181818183,0.0,100.0,90.9090909090909,Hors intersection,Hors intersection,Autre collision,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59485,100.0,31.5,100.0,octobre,vendredi,0.0,50.0,0.0,50.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - travail,Côté gauche
59507,23.52941176470588,30.705882352941178,82.35294117647058,octobre,lundi,17.647058823529413,17.647058823529413,23.52941176470588,100.0,94.11764705882352,Hors intersection,Hors intersection,Autre collision,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59512,69.71153846153845,28.67149758454106,79.8076923076923,septembre,lundi,13.942307692307693,13.942307692307693,14.903846153846153,80.28846153846155,98.07692307692307,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Avant
59526,75.0,46.416666666666664,50.0,septembre,vendredi,8.333333333333332,8.333333333333332,8.333333333333332,75.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
59529,100.0,58.0,0.0,aout,lundi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Non renseigné,Non renseigné,Sur chaussée,Promenade - loisirs,Côté gauche
59540,47.05882352941176,41.294117647058826,88.23529411764706,octobre,lundi,0.0,17.647058823529413,0.0,94.11764705882352,100.0,Hors intersection,Hors intersection,Autre collision,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
59551,0.0,13.0,100.0,juin,dimanche,0.0,0.0,0.0,100.0,0.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
59560,33.33333333333333,37.53333333333333,73.33333333333333,juin,vendredi,6.666666666666667,20.0,6.666666666666667,80.0,100.0,Hors intersection,Hors intersection,Autre collision,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59564,100.0,41.0,50.0,aout,mercredi,0.0,50.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant droit
59569,33.33333333333333,29.666666666666668,33.33333333333333,novembre,jeudi,0.0,0.0,0.0,100.0,66.66666666666666,Hors intersection,Hors intersection,Autre collision,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
59581,0.0,17.2,60.0,octobre,mercredi,0.0,0.0,0.0,40.0,80.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
